"Caption","Description","SettingID","Comment","Constraints","DefaultInboundCfg","DefaultOutboundCfg","MgmtCLSID","MgmtDbNameOverride","MgmtDbServerOverride","Name","PSComputerName"
,,,"Adapter for communicating with Azure Blob Storage.","11","<CustomProps/>","<CustomProps/>","{23D89CB3-D638-4558-AA36-79F1ECB0454F}","","","AzureBlobStorage",
,,,"","15371","","","{177DD96E-44C8-4B22-AB32-9F1B323C846A}","","","CO.File",
,,,"","15371","","","{A1FCF10F-4339-491C-8FF6-0A23682D6390}","","","CO.RaindanceTelegram",
,,,"Adapter for communicating with Event Hubs.","11","<CustomProps/>","<CustomProps/>","{B3E61555-84AE-4AF0-9528-BC104F92E01C}","","","EventHub",
,,,"FILE adapter","11","<CustomProps/>","<CustomProps/>","{5E49E3A6-B4FC-4077-B44C-22F34A242FDB}","","","FILE",
,,,"FTP adapter","80907","<CustomProps/>","<CustomProps/>","{3979FFED-0067-4CC6-9F5A-859A5DB6E9BB}","","","FTP",
,,,"HTTP adapter","387","<CustomProps/>","<CustomProps><RequestTimeout vt=""3"">0</RequestTimeout><MaxRedirects vt=""3"">5</MaxRedirects><ContentType vt=""8"">text/xml</ContentType><UseProxy vt=""11"">0</UseProxy><ProxyPort vt=""19"">80</ProxyPort></CustomProps>","{1C56D157-0553-4345-8A1F-55D2D1A3FFB6}","","","HTTP",
,,,"Adapter for communicating with Logic Apps.","15747","<CustomProps/>","<CustomProps/>","{EC50860C-24CB-4934-BE2E-1694093B721F}","","","LogicApp",
,,,"Loopback adapter","9474","","","{26C0617B-3CE8-4100-90DF-91EDE4826E2B}","","","Loopback",
,,,"MQSeries adapter","15627","<CustomProps/>","<CustomProps/>","{B0942470-A5A1-45AF-8D01-27481B306441}","","","MQSeries",
,,,"MSMQ adapter","13579","<CustomProps/>","<CustomProps/>","{FF5CEE87-FD92-4422-B47D-F7D033311693}","","","MSMQ",
,,,"","523","<CustomProps><Port vt=""3"">22</Port><AccessAnySSHServerHostKey vt=""11"">0</AccessAnySSHServerHostKey><ClientAuthenticationMode vt=""8"">Password</ClientAuthenticationMode><PollingInterval vt=""3"">5</PollingInterval><RetainAfterDownload vt=""11"">0</RetainAfterDownload><EnableTimeComparison vt=""11"">0</EnableTimeComparison><RedownloadInterval vt=""3"">0</RedownloadInterval><PollingIntervalUnit vt=""8"">Seconds</PollingIntervalUnit><ConnectionLimit vt=""3"">5</ConnectionLimit><MaxConnectionReuseTimeInSeconds vt=""3"">0</MaxConnectionReuseTimeInSeconds><ProxyType vt=""8"">None</ProxyType><ProxyPort vt=""3"">1080</ProxyPort><EncryptionCipher vt=""8"">Auto</EncryptionCipher></CustomProps>
","<CustomProps><Port vt=""3"">22</Port><AppendIfExists vt=""11"">0</AppendIfExists><AccessAnySSHServerHostKey vt=""11"">0</AccessAnySSHServerHostKey><ClientAuthenticationMode vt=""8"">Password</ClientAuthenticationMode><ConnectionLimit vt=""3"">5</ConnectionLimit><MaxConnectionReuseTimeInSeconds vt=""3"">0</MaxConnectionReuseTimeInSeconds><ProxyType vt=""8"">None</ProxyType><ProxyPort vt=""3"">1080</ProxyPort><EncryptionCipher vt=""8"">Auto</EncryptionCipher></CustomProps>
","{F75AEFF5-EBC7-4E7C-A753-FDD68AB45C95}","","","MS-SFTP",
,,,"Adapter for communicating with Office365 Outlook Calendars.","11","<CustomProps/>","<CustomProps/>","{34676320-8854-4208-9DBB-A7222A0241E2}","","","Office365 Outlook Calendar",
,,,"Adapter for communicating with Office365 Outlook Contacts.","2","","<CustomProps/>","{CBF8600C-4489-4325-BBFF-2E9D2B00FC99}","","","Office365 Outlook Contact",
,,,"Adapter for communicating with Office365 Outlook Emails.","11","<CustomProps/>","<CustomProps/>","{48B96E09-BD96-4F46-95EF-57ACCC55F23D}","","","Office365 Outlook Email",
,,,"POP3 adapter","71689","","","{1787FCC1-9AAA-4BBD-9096-7EB77E3D9D9B}","","","POP3",
